Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
IDAHO,2016,16,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,7,,16,,5,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}', 'latitude': '43.680635', 'longitude': '-114.364237', 'needs_recoding': False}",
MONTANA,2016,16,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,3,,10,,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}', 'latitude': '47.062617', 'longitude': '-109.430168', 'needs_recoding': False}",
NEVADA,2016,16,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,6,,15,,71,,85,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEVADA"",""zip"":""""}', 'latitude': '39.491833', 'longitude': '-117.070159', 'needs_recoding': False}",
NEW MEXICO,2016,16,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,2,,10,,44,,35,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}', 'latitude': '34.520396', 'longitude': '-106.244402', 'needs_recoding': False}",
UTAH,2016,16,,-,0,,0,,,-,1,,,-,0,,2,,,-,,-,,-,0,,5,,1,,16,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""UTAH"",""zip"":""""}', 'latitude': '39.359772', 'longitude': '-111.584173', 'needs_recoding': False}",
WYOMING,2016,16,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WYOMING"",""zip"":""""}', 'latitude': '43.23558', 'longitude': '-108.110518', 'needs_recoding': False}",
PACIFIC,2016,16,,-,0,,1,,,-,,-,,-,0,,2,,1,,5,,22,,111,,136,,1428,,1659,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ALASKA,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ALASKA"",""zip"":""""}', 'latitude': '64.836661', 'longitude': '-147.738891', 'needs_recoding': False}",
CALIFORNIA,2016,16,,-,0,,1,,,-,,-,,-,0,,1,,1,,3,,12,,96,,120,,1254,,1404,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""CALIFORNIA"",""zip"":""""}', 'latitude': '37.640735', 'longitude': '-121.002435', 'needs_recoding': False}",
HAWAII,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,17,,25,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""HAWAII"",""zip"":""""}', 'latitude': '21.30992', 'longitude': '-157.858158', 'needs_recoding': False}",
OREGON,2016,16,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,4,,6,,12,,87,,103,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OREGON"",""zip"":""""}', 'latitude': '44.567912', 'longitude': '-120.156945', 'needs_recoding': False}",
WASHINGTON,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,8,,13,,70,,127,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WASHINGTON"",""zip"":""""}', 'latitude': '47.517368', 'longitude': '-120.467672', 'needs_recoding': False}",
AMER. SAMOA,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""AMER. SAMOA"",""zip"":""""}', 'needs_recoding': False}",
C.N.M.I.,2016,16,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""C.N.M.I."",""zip"":""""}', 'needs_recoding': False}",
GUAM,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""GUAM"",""zip"":""""}', 'latitude': '13.3532', 'longitude': '144.653198', 'needs_recoding': False}",
PUERTO RICO,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,38,,131,,125,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""PUERTO RICO"",""zip"":""""}', 'latitude': '18.215692', 'longitude': '-66.414655', 'needs_recoding': False}",
VIRGIN ISL.,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGIN ISL."",""zip"":""""}', 'needs_recoding': False}",
UNITED STATES,2016,17,1,,1,,7,,5,,17,,10,,49,,215,,238,,307,,126,,472,,581,,6495,,7143,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
NEW ENGLAND,2016,17,,-,0,,1,,,-,1,,,-,0,,2,,1,,3,,,-,13,,27,,181,,195,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
CONNECTICUT,2016,17,,-,0,,0,,,-,1,,,-,0,,1,,,-,2,,,-,1,,7,,9,,33,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""CONNECTICUT"",""zip"":""""}', 'latitude': '41.544654', 'longitude': '-72.651713', 'needs_recoding': False}",
MAINE,2016,17,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,0,,2,,1,,8,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MAINE"",""zip"":""""}', 'latitude': '45.252223', 'longitude': '-68.986647', 'needs_recoding': False}",
MASSACHUSETTS,2016,17,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,9,,18,,124,,116,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MASSACHUSETTS"",""zip"":""""}', 'latitude': '42.268546', 'longitude': '-72.085064', 'needs_recoding': False}",
NEW HAMPSHIRE,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,15,,13,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW HAMPSHIRE"",""zip"":""""}', 'latitude': '43.657736', 'longitude': '-71.500736', 'needs_recoding': False}",
RHODE ISLAND,2016,17,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,2,,4,,26,,21,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""RHODE ISLAND"",""zip"":""""}', 'latitude': '41.707447', 'longitude': '-71.522488', 'needs_recoding': False}",
VERMONT,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,6,,4,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VERMONT"",""zip"":""""}', 'latitude': '43.622479', 'longitude': '-72.51927', 'needs_recoding': False}",
MID. ATLANTIC,2016,17,1,,0,,1,,3,,,-,,-,2,,12,,13,,11,,17,,62,,101,,999,,843,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
NEW JERSEY,2016,17,,-,0,,1,,1,,,-,,-,0,,7,,4,,6,,,-,6,,17,,80,,113,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW JERSEY"",""zip"":""""}', 'latitude': '40.104655', 'longitude': '-74.386686', 'needs_recoding': False}",
NEW YORK,2016,17,1,,0,,1,,2,,,-,,-,0,,3,,2,,2,,8,,9,,46,,124,,101,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK"",""zip"":""""}', 'latitude': '42.826892', 'longitude': '-75.544286', 'needs_recoding': False}",
NEW YORK CITY,2016,17,,-,0,,0,,,-,,-,,-,0,,3,,4,,3,,1,,31,,45,,477,,426,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK CITY"",""zip"":""""}', 'needs_recoding': False}",
PENNSYLVANIA,2016,17,,-,0,,0,,,-,,-,,-,0,,4,,3,,,-,8,,15,,32,,318,,203,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""PENNSYLVANIA"",""zip"":""""}', 'latitude': '40.789676', 'longitude': '-77.858055', 'needs_recoding': False}",
E.N. CENTRAL,2016,17,,-,0,,3,,,-,,-,,-,1,,9,,4,,9,,2,,44,,63,,512,,775,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ILLINOIS,2016,17,,-,0,,3,,,-,,-,,-,0,,6,,2,,4,,2,,17,,35,,119,,290,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ILLINOIS"",""zip"":""""}', 'latitude': '40.477092', 'longitude': '-88.993221', 'needs_recoding': False}",
INDIANA,2016,17,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,,-,6,,12,,111,,86,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""INDIANA"",""zip"":""""}', 'latitude': '39.76845', 'longitude': '-86.156212', 'needs_recoding': False}",
MICHIGAN,2016,17,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,6,,12,,49,,153,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MICHIGAN"",""zip"":""""}', 'latitude': '44.66399', 'longitude': '-84.711206', 'needs_recoding': False}",
OHIO,2016,17,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,11,,17,,195,,216,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OHIO"",""zip"":""""}', 'latitude': '40.056807', 'longitude': '-82.405897', 'needs_recoding': False}",
WISCONSIN,2016,17,,-,0,,0,,,-,,-,,-,0,,1,,2,,2,,,-,2,,5,,38,,30,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WISCONSIN"",""zip"":""""}', 'latitude': '44.395526', 'longitude': '-89.834513', 'needs_recoding': False}",
W.N. CENTRAL,2016,17,,-,0,,4,,,-,1,,2,,5,,27,,16,,30,,,-,16,,32,,279,,254,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
IOWA,2016,17,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,1,,4,,20,,22,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""IOWA"",""zip"":""""}', 'latitude': '42.46942', 'longitude': '-93.815856', 'needs_recoding': False}",
KANSAS,2016,17,,-,0,,0,,,-,1,,,-,1,,13,,3,,19,,,-,1,,5,,25,,23,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""KANSAS"",""zip"":""""}', 'latitude': '38.345528', 'longitude': '-98.201847', 'needs_recoding': False}",
MINNESOTA,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,102,,66,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MINNESOTA"",""zip"":""""}', 'latitude': '44.943719', 'longitude': '-93.094281', 'needs_recoding': False}",
MISSOURI,2016,17,,-,0,,1,,,-,,-,2,,4,,18,,13,,8,,,-,6,,16,,118,,106,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MISSOURI"",""zip"":""""}', 'latitude': '38.636168', 'longitude': '-92.566292', 'needs_recoding': False}",
NEBRASKA,2016,17,,-,0,,3,,,-,,-,,-,0,,2,,,-,1,,,-,0,,4,,5,,19,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEBRASKA"",""zip"":""""}', 'latitude': '41.640503', 'longitude': '-99.367122', 'needs_recoding': False}",
NORTH DAKOTA,2016,17,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,3,,5,,4,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH DAKOTA"",""zip"":""""}', 'latitude': '47.475879', 'longitude': '-100.121011', 'needs_recoding': False}",
SOUTH DAKOTA,2016,17,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,4,,14,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH DAKOTA"",""zip"":""""}', 'latitude': '44.35371', 'longitude': '-100.373709', 'needs_recoding': False}",
S. ATLANTIC,2016,17,,-,0,,4,,,-,6,,2,,9,,78,,53,,60,,45,,115,,163,,1617,,1816,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
DELAWARE,2016,17,,-,0,,0,,,-,,-,,-,0,,4,,6,,1,,1,,1,,7,,21,,12,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""DELAWARE"",""zip"":""""}', 'latitude': '39.008676', 'longitude': '-75.574561', 'needs_recoding': False}",
DIST. OF COL.,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,21,,38,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""DIST. OF COL."",""zip"":""""}', 'needs_recoding': False}",
FLORIDA,2016,17,,-,0,,1,,,-,,-,,-,0,,5,,3,,6,,4,,41,,65,,643,,631,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""FLORIDA"",""zip"":""""}', 'latitude': '28.915325', 'longitude': '-81.922409', 'needs_recoding': False}",
GEORGIA,2016,17,,-,0,,4,,,-,6,,,-,0,,0,,,-,,-,1,,24,,44,,325,,485,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""GEORGIA"",""zip"":""""}', 'latitude': '32.836038', 'longitude': '-83.631709', 'needs_recoding': False}",
MARYLAND,2016,17,,-,0,,0,,,-,,-,,-,0,,2,,7,,1,,,-,9,,19,,109,,135,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MARYLAND"",""zip"":""""}', 'latitude': '39.290443', 'longitude': '-76.612333', 'needs_recoding': False}",
NORTH CAROLINA,2016,17,,-,0,,1,,,-,,-,,-,2,,66,,12,,35,,,-,20,,43,,221,,297,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH CAROLINA"",""zip"":""""}', 'latitude': '35.47995', 'longitude': '-79.180571', 'needs_recoding': False}",
SOUTH CAROLINA,2016,17,,-,0,,1,,,-,,-,,-,1,,3,,2,,4,,,-,5,,15,,118,,96,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH CAROLINA"",""zip"":""""}', 'latitude': '34.009286', 'longitude': '-81.037094', 'needs_recoding': False}",
VIRGINIA,2016,17,,-,0,,1,,,-,,-,2,,3,,23,,23,,12,,39,,6,,18,,146,,108,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGINIA"",""zip"":""""}', 'latitude': '37.542699', 'longitude': '-78.45822', 'needs_recoding': False}",
WEST VIRGINIA,2016,17,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,1,,5,,13,,14,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WEST VIRGINIA"",""zip"":""""}', 'latitude': '38.668501', 'longitude': '-80.709421', 'needs_recoding': False}",
E.S. CENTRAL,2016,17,,-,0,,3,,2,,1,,2,,15,,65,,96,,104,,,-,19,,34,,235,,305,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ALABAMA,2016,17,,-,0,,1,,,-,,-,,-,4,,19,,41,,31,,,-,6,,11,,59,,88,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ALABAMA"",""zip"":""""}', 'latitude': '32.839182', 'longitude': '-86.631125', 'needs_recoding': False}",
KENTUCKY,2016,17,,-,0,,1,,1,,,-,,-,2,,10,,17,,11,,,-,3,,12,,53,,50,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""KENTUCKY"",""zip"":""""}', 'latitude': '37.64591', 'longitude': '-84.774043', 'needs_recoding': False}",
MISSISSIPPI,2016,17,,-,0,,1,,,-,,-,,-,2,,8,,8,,6,,,-,4,,9,,70,,65,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MISSISSIPPI"",""zip"":""""}', 'latitude': '32.738663', 'longitude': '-89.537312', 'needs_recoding': False}",
TENNESSEE,2016,17,,-,0,,3,,1,,1,,2,,7,,42,,30,,56,,,-,7,,13,,53,,102,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""TENNESSEE"",""zip"":""""}', 'latitude': '35.681402', 'longitude': '-85.774444', 'needs_recoding': False}",
W.S. CENTRAL,2016,17,,-,0,,1,,,-,,-,4,,13,,72,,50,,77,,35,,53,,75,,786,,767,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ARKANSAS,2016,17,,-,0,,1,,,-,,-,4,,12,,71,,43,,68,,,-,3,,9,,44,,8,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ARKANSAS"",""zip"":""""}', 'latitude': '34.748745', 'longitude': '-92.275105', 'needs_recoding': False}",
LOUISIANA,2016,17,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,,-,13,,38,,115,,164,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""LOUISIANA"",""zip"":""""}', 'latitude': '31.2931', 'longitude': '-92.463284', 'needs_recoding': False}",
OKLAHOMA,2016,17,,-,0,,0,,,-,,-,,-,0,,16,,,-,2,,,-,3,,11,,30,,59,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OKLAHOMA"",""zip"":""""}', 'latitude': '35.468494', 'longitude': '-97.521264', 'needs_recoding': False}",
TEXAS,2016,17,,-,0,,1,,,-,,-,,-,1,,5,,7,,5,,35,,34,,48,,597,,536,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""TEXAS"",""zip"":""""}', 'latitude': '31.827233', 'longitude': '-99.423022', 'needs_recoding': False}",
MOUNTAIN,2016,17,,-,0,,2,,,-,8,,,-,0,,3,,4,,8,,3,,26,,42,,349,,413,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ARIZONA,2016,17,,-,0,,1,,,-,7,,,-,0,,1,,3,,5,,1,,11,,19,,154,,190,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ARIZONA"",""zip"":""""}', 'latitude': '34.869712', 'longitude': '-111.760902', 'needs_recoding': False}",
COLORADO,2016,17,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,4,,9,,46,,70,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""COLORADO"",""zip"":""""}', 'latitude': '38.841772', 'longitude': '-106.132562', 'needs_recoding': False}",
IDAHO,2016,17,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,1,,7,,18,,5,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}', 'latitude': '43.680635', 'longitude': '-114.364237', 'needs_recoding': False}",
MONTANA,2016,17,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,1,,0,,3,,11,,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}', 'latitude': '47.062617', 'longitude': '-109.430168', 'needs_recoding': False}",
NEVADA,2016,17,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,6,,15,,71,,93,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEVADA"",""zip"":""""}', 'latitude': '39.491833', 'longitude': '-117.070159', 'needs_recoding': False}",
NEW MEXICO,2016,17,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,2,,10,,48,,37,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}', 'latitude': '34.520396', 'longitude': '-106.244402', 'needs_recoding': False}",
UTAH,2016,17,,-,0,,0,,,-,1,,,-,0,,2,,,-,,-,,-,0,,5,,1,,16,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""UTAH"",""zip"":""""}', 'latitude': '39.359772', 'longitude': '-111.584173', 'needs_recoding': False}",
WYOMING,2016,17,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WYOMING"",""zip"":""""}', 'latitude': '43.23558', 'longitude': '-108.110518', 'needs_recoding': False}",
PACIFIC,2016,17,,-,0,,1,,,-,,-,,-,0,,2,,1,,5,,24,,112,,139,,1537,,1775,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ALASKA,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ALASKA"",""zip"":""""}', 'latitude': '64.836661', 'longitude': '-147.738891', 'needs_recoding': False}",
CALIFORNIA,2016,17,,-,0,,1,,,-,,-,,-,0,,1,,1,,3,,20,,97,,120,,1358,,1503,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""CALIFORNIA"",""zip"":""""}', 'latitude': '37.640735', 'longitude': '-121.002435', 'needs_recoding': False}",
HAWAII,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,17,,26,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""HAWAII"",""zip"":""""}', 'latitude': '21.30992', 'longitude': '-157.858158', 'needs_recoding': False}",
OREGON,2016,17,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,1,,6,,13,,89,,114,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OREGON"",""zip"":""""}', 'latitude': '44.567912', 'longitude': '-120.156945', 'needs_recoding': False}",
WASHINGTON,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,8,,13,,73,,132,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WASHINGTON"",""zip"":""""}', 'latitude': '47.517368', 'longitude': '-120.467672', 'needs_recoding': False}",
AMER. SAMOA,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""AMER. SAMOA"",""zip"":""""}', 'needs_recoding': False}",
C.N.M.I.,2016,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""C.N.M.I."",""zip"":""""}', 'needs_recoding': False}",
GUAM,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""GUAM"",""zip"":""""}', 'latitude': '13.3532', 'longitude': '144.653198', 'needs_recoding': False}",
PUERTO RICO,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,38,,145,,128,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""PUERTO RICO"",""zip"":""""}', 'latitude': '18.215692', 'longitude': '-66.414655', 'needs_recoding': False}",
VIRGIN ISL.,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGIN ISL."",""zip"":""""}', 'needs_recoding': False}",
UNITED STATES,2016,18,,-,1,,7,,6,,21,,22,,41,,216,,307,,374,,97,,476,,582,,6971,,7561,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
NEW ENGLAND,2016,18,,-,0,,1,,,-,1,,,-,0,,2,,2,,4,,2,,13,,27,,205,,203,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
CONNECTICUT,2016,18,,-,0,,0,,,-,1,,,-,0,,1,,,-,2,,,-,1,,7,,9,,36,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""CONNECTICUT"",""zip"":""""}', 'latitude': '41.544654', 'longitude': '-72.651713', 'needs_recoding': False}",
MAINE,2016,18,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,0,,2,,1,,8,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MAINE"",""zip"":""""}', 'latitude': '45.252223', 'longitude': '-68.986647', 'needs_recoding': False}",
MASSACHUSETTS,2016,18,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,,-,9,,18,,145,,120,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MASSACHUSETTS"",""zip"":""""}', 'latitude': '42.268546', 'longitude': '-72.085064', 'needs_recoding': False}",
NEW HAMPSHIRE,2016,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,16,,13,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW HAMPSHIRE"",""zip"":""""}', 'latitude': '43.657736', 'longitude': '-71.500736', 'needs_recoding': False}",
RHODE ISLAND,2016,18,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,2,,2,,4,,28,,22,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""RHODE ISLAND"",""zip"":""""}', 'latitude': '41.707447', 'longitude': '-71.522488', 'needs_recoding': False}",
VERMONT,2016,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,6,,4,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VERMONT"",""zip"":""""}', 'latitude': '43.622479', 'longitude': '-72.51927', 'needs_recoding': False}",
MID. ATLANTIC,2016,18,,-,0,,1,,3,,1,,1,,2,,13,,14,,12,,30,,62,,101,,1082,,896,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
NEW JERSEY,2016,18,,-,0,,1,,1,,,-,,-,0,,7,,4,,6,,,-,6,,17,,86,,116,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW JERSEY"",""zip"":""""}', 'latitude': '40.104655', 'longitude': '-74.386686', 'needs_recoding': False}",
NEW YORK,2016,18,,-,0,,1,,2,,1,,1,,0,,3,,3,,2,,12,,9,,46,,137,,114,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK"",""zip"":""""}', 'latitude': '42.826892', 'longitude': '-75.544286', 'needs_recoding': False}",
